Plant_Name,PrimSource,Total_MW,latitude,longitude
Valenite,petroleum,2.40000000000,34.65724000000,-83.03832000000
Honea Path,petroleum,2.40000000000,34.44128000000,-82.36520000000
Regional Wastewater Control Facility,natural gas,4.00000000000,37.93690000000,-121.32940000000
Ripon Generation Station,natural gas,96.00000000000,37.73150000000,-121.11600000000
Anderson Erickson,petroleum,2.00000000000,41.60140000000,-93.57650000000
Neptune Gas Processing Plant,other,3.10000000000,29.73360000000,-91.44310000000
Jamaica Bay Peaking,petroleum,54.30000000000,40.60970000000,-73.76220000000
"Chanarambie Power Partners, LLC",wind,85.50000000000,44.01100000000,-96.04460000000
Riverside Energy Resource Center,natural gas,196.00000000000,33.96360000000,-117.45280000000
Springs Generating Station,natural gas,40.00000000000,33.93080000000,-117.29330000000
False Island,petroleum,1.30000000000,55.48918000000,-133.13450000000
Viking,petroleum,1.00000000000,55.54070800000,-133.10234400000
Ft. Pierre,petroleum,6.00000000000,44.36805600000,-100.38083300000
Seven Mile Creek LFG,biomass,3.40000000000,44.82983000000,-91.37313400000
McIntosh Combined Cycle Facility,natural gas,1318.60000000000,32.34780000000,-81.18170000000
South Harper,natural gas,303.30000000000,38.68030000000,-94.48240000000
Freeport Energy Center,natural gas,219.40000000000,28.98876100000,-95.39541700000
Viking Wind Partners,wind,12.00000000000,43.98346200000,-96.01180900000
"Mendota Hills, LLC",wind,50.40000000000,41.71940000000,-89.04920000000
Ainsworth Wind,wind,59.40000000000,42.44890000000,-99.89170000000
Kennecott Power Plant,coal,112.70000000000,40.71190000000,-112.12250000000
Faribault Energy Park,natural gas,261.00000000000,44.33560000000,-93.29055600000
Sheboygan Falls,natural gas,300.80000000000,43.75182600000,-87.87805600000
NEO Freehold Gen LLC,natural gas,2.20000000000,40.24483300000,-74.25469400000
Flying Cloud Power Partners LLC,wind,43.50000000000,43.38970000000,-95.29970000000
Colorado Green Holdings LLC,wind,162.00000000000,37.70330000000,-102.62310000000
Moraine Wind LLC,wind,51.00000000000,44.06670000000,-96.06670000000
Nebo Power Station,natural gas,130.00000000000,40.06140000000,-111.72940000000
