Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec
1400000US36047049000,36047049000,"Census Tract 490, Kings County, New York",5549,2358,624,0,83,0,0,0,40,0,0,0,950,415,0,22,0,0,0,47,222,229,259,144,0,8,0,0,0,0,0,0,0,0,0,0,0,0,116,0,32
1400000US36047049100,36047049100,"Census Tract 491, Kings County, New York",5747,1624,1603,0,0,0,0,15,96,0,0,0,18,300,0,0,0,0,0,0,0,14,32,1949,23,0,0,0,53,0,0,20,0,0,0,0,0,0,0,0,0
1400000US36047049200,36047049200,"Census Tract 492, Kings County, New York",3229,1575,401,43,21,1,0,0,10,0,4,9,259,0,0,54,0,0,0,0,358,212,77,0,21,0,0,0,95,0,0,0,0,0,0,0,0,82,7,0,0
1400000US36047049300,36047049300,"Census Tract 493, Kings County, New York",7103,2820,3705,72,0,91,33,42,0,0,0,0,17,0,0,0,0,0,0,12,11,66,81,77,40,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1400000US36047049400,36047049400,"Census Tract 494, Kings County, New York",5070,2074,449,10,146,75,0,16,27,0,0,0,780,219,0,6,43,19,0,0,206,543,184,79,0,0,0,0,0,0,0,135,0,0,0,7,0,47,5,0,0
1400000US36047049500,36047049500,"Census Tract 495, Kings County, New York",2565,1846,335,28,0,53,0,5,19,0,0,8,0,26,0,0,0,0,0,0,0,0,48,91,32,0,0,0,0,0,0,40,0,0,0,0,0,0,34,0,0
1400000US36047049600,36047049600,"Census Tract 496, Kings County, New York",3606,1301,835,18,0,14,0,0,9,0,0,29,184,93,18,110,0,14,0,49,36,151,28,533,35,0,0,0,0,0,0,0,0,13,0,0,0,98,38,0,0
1400000US36047049700,36047049700,"Census Tract 497, Kings County, New York",2714,2068,180,8,0,178,0,34,10,0,18,0,22,18,0,0,0,0,0,0,0,25,16,34,15,6,0,0,0,0,73,0,0,0,0,0,0,0,9,0,0
1400000US36047049800,36047049800,"Census Tract 498, Kings County, New York",4223,1833,382,35,0,43,0,6,83,9,15,0,164,134,0,7,0,8,0,0,68,694,16,568,0,0,36,0,30,0,0,0,0,0,0,0,0,65,27,0,0
1400000US36047049900,36047049900,"Census Tract 499, Kings County, New York",1618,929,277,9,0,7,4,8,0,0,5,3,0,319,0,0,0,0,0,0,0,7,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
1400000US36047050000,36047050000,"Census Tract 500, Kings County, New York",3361,2161,143,16,89,115,0,0,8,0,7,0,96,0,0,29,0,8,0,0,0,236,46,218,0,0,0,0,135,0,16,0,15,0,0,0,0,17,6,0,0
1400000US36047050100,36047050100,"Census Tract 501, Kings County, New York",2825,1989,422,31,0,98,0,26,0,28,0,0,0,23,0,0,0,0,0,0,0,0,54,13,28,45,0,0,0,0,0,0,0,0,0,0,0,57,11,0,0
1400000US36047050202,36047050202,"Census Tract 502.02, Kings County, New York",2295,1756,176,60,0,36,0,30,0,0,0,27,147,4,0,0,0,0,0,0,0,0,9,5,18,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,0
1400000US36047050300,36047050300,"Census Tract 503, Kings County, New York",2349,1301,549,16,0,98,13,18,0,0,0,22,0,281,0,0,0,0,0,0,0,0,9,0,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047050400,36047050400,"Census Tract 504, Kings County, New York",4485,2389,737,31,55,38,0,8,9,0,0,17,336,164,0,0,0,0,0,0,0,418,35,72,16,0,10,0,0,0,0,58,0,0,0,0,0,85,7,0,0
