Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec,ldi
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",3358,1435,1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0.5171432412653807
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",5161,1624,2559,16,11,43,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,154,0,0,0,0,0,0,0,37,37,0,0,0,0,30,0,61,0,0.6412927114478226
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",6136,1900,3824,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0.5133329452021032
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",2367,786,1125,0,66,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,25,0,0,0,0,0,0,0,0,0,26,0,0,0,0,19,0,13,0,0.64776681339978
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",4763,2021,2472,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,59,13,48,16,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0.5500413049025598
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",153,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",4125,1439,2507,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0.5082637869605142
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",1527,605,838,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0.5403346615322793
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",5174,3901,652,72,8,167,0,28,0,0,15,96,0,0,0,0,0,0,0,0,0,25,0,41,0,34,0,0,36,0,0,18,53,0,0,0,0,0,19,9,0,0.41373036273514696
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",4973,1684,3148,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,88,0,0.4842475933483401
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",2892,732,1897,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,70,0,102,0,0.503231837146973
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",1662,445,1211,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3973805355356008
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",3914,1591,2144,6,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0.5340189652385772
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",3746,1252,2230,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,165,0,0.5317052195058962
